院校,科类,批次,院校专业组代码,专业组,风险等级,专业代码,专业名称,专业类,大类,风险说明
江苏建筑职业技术大学,物理,专科批,123007,江苏建筑职业技术大学07,中危混合组,62,园林工程技术,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
江苏建筑职业技术大学,物理,专科批,123008,江苏建筑职业技术大学08,整体偏冷组,68,建筑工程技术(中外合作办学),土木建筑类,土木建筑大类,专科就业或接受度需谨慎核对
新疆职业大学,历史,专科批,751801,新疆职业大学01,未标风险,01,烹饪工艺与营养,食品药品类,食品药品与粮食大类,专科就业或接受度需谨慎核对
常州幼儿师范高等专科学校,历史,专科批,125601,常州幼儿师范高等专科学校01,中危混合组,03,旅游管理,旅游餐饮类,旅游大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
常州幼儿师范高等专科学校,历史,专科批,125601,常州幼儿师范高等专科学校01,中危混合组,04,酒店管理与数字化运营,旅游餐饮类,旅游大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
常州幼儿师范高等专科学校,历史,专科批,125601,常州幼儿师范高等专科学校01,中危混合组,06,智慧健康养老服务与管理,公共管理服务类,公共管理与服务大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
常州幼儿师范高等专科学校,历史,专科批,125601,常州幼儿师范高等专科学校01,中危混合组,07,"早期教育(师范)(报考该专业有色觉要求,具体请查阅院校招生章程)",教育体育类,教育与体育大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
常州幼儿师范高等专科学校,历史,专科批,125601,常州幼儿师范高等专科学校01,中危混合组,08,"学前教育(师范)(报考该专业有色觉要求,具体请查阅院校招生章程)",教育体育类,教育与体育大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
常州幼儿师范高等专科学校,历史,专科批,125601,常州幼儿师范高等专科学校01,中危混合组,09,"婴幼儿托育服务与管理(报考该专业有色觉要求,具体请查阅院校招生章程)",护理医学类,医药卫生大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
江西现代职业技术学院,历史,专科批,252501,江西现代职业技术学院01,中危混合组,01,动漫制作技术,文化艺术类,文化艺术大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
河北科技工程职业技术大学,历史,专科批,337902,河北科技工程职业技术大学02,整体偏冷组,02,旅游管理,旅游餐饮类,旅游大类,专科就业或接受度需谨慎核对
河北科技工程职业技术大学,历史,专科批,337902,河北科技工程职业技术大学02,整体偏冷组,03,全媒体广告策划与营销,文化艺术类,文化艺术大类,专科就业或接受度需谨慎核对
钟山职业技术学院,历史,专科批,195005,钟山职业技术学院05,中危混合组,05,食品营养与健康,食品药品类,食品药品与粮食大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
钟山职业技术学院,历史,专科批,195005,钟山职业技术学院05,中危混合组,11,现代家政服务与管理,公共管理服务类,公共管理与服务大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
钟山职业技术学院,历史,专科批,195005,钟山职业技术学院05,中危混合组,12,智慧健康养老服务与管理,公共管理服务类,公共管理与服务大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
钟山职业技术学院,历史,专科批,195006,钟山职业技术学院06,中危混合组,18,旅游管理,旅游餐饮类,旅游大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
钟山职业技术学院,历史,专科批,195007,钟山职业技术学院07,中危混合组,19,建筑室内设计,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
钟山职业技术学院,历史,专科批,195008,钟山职业技术学院08,中危混合组,25,工程造价,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
威海职业学院,物理,专科批,268602,威海职业学院02,中危混合组,02,广告艺术设计,文化艺术类,文化艺术大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
宿迁幼儿师范高等专科学校,历史,专科批,142701,宿迁幼儿师范高等专科学校01,中危混合组,02,"学前教育(师范)(报考该专业有色觉要求,具体请查阅院校招生章程)",教育体育类,教育与体育大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
宿迁幼儿师范高等专科学校,历史,专科批,142701,宿迁幼儿师范高等专科学校01,中危混合组,03,音乐教育(师范),文化艺术类,文化艺术大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
宿迁幼儿师范高等专科学校,历史,专科批,142701,宿迁幼儿师范高等专科学校01,中危混合组,04,"美术教育(师范)(报考该专业有色觉要求,具体请查阅院校招生章程)",文化艺术类,文化艺术大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
宿迁幼儿师范高等专科学校,历史,专科批,142701,宿迁幼儿师范高等专科学校01,中危混合组,06,旅游管理,旅游餐饮类,旅游大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
宿迁幼儿师范高等专科学校,历史,专科批,142701,宿迁幼儿师范高等专科学校01,中危混合组,07,酒店管理与数字化运营,旅游餐饮类,旅游大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
宿迁幼儿师范高等专科学校,历史,专科批,142701,宿迁幼儿师范高等专科学校01,中危混合组,08,"计算机应用技术(报考该专业有色觉要求,具体请查阅院校招生章程)",计算机类,电子与信息大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
宿迁幼儿师范高等专科学校,历史,专科批,142701,宿迁幼儿师范高等专科学校01,中危混合组,09,"大数据技术(报考该专业有色觉要求,具体请查阅院校招生章程)",计算机类,电子与信息大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
宿迁幼儿师范高等专科学校,历史,专科批,142701,宿迁幼儿师范高等专科学校01,中危混合组,12,智慧旅游技术应用,旅游餐饮类,旅游大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
宿迁幼儿师范高等专科学校,历史,专科批,142701,宿迁幼儿师范高等专科学校01,中危混合组,13,智慧健康养老服务与管理,公共管理服务类,公共管理与服务大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
西安工商学院,物理,专科批,891405,西安工商学院05,中危混合组,35,人力资源管理,公共管理服务类,公共管理与服务大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
赣州职业技术学院,物理,专科批,258002,赣州职业技术学院02,中危混合组,02,畜牧兽医,农林牧渔类,农林牧渔大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
赣州职业技术学院,物理,专科批,258002,赣州职业技术学院02,中危混合组,03,动物营养与饲料,食品药品类,食品药品与粮食大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
周口职业技术学院,历史,专科批,513501,周口职业技术学院01,整体偏冷组,01,会展策划与管理(开元校区),旅游餐饮类,旅游大类,专科就业或接受度需谨慎核对
